,,Calendar Year,Coal_Prod_Underground,Coal_Prod_Surface_and_Facilities,Coal_Prod_Total
Y,2024,2024,207187571,306913474,514101045
Y,2020,2020,195529788,339950916,535480704
Y,2021,2021,220775082,357160673,577935755
Y,2023,2023,218380336,360745546,579125882
Y,2022,2022,223161553,372740826,595902379
Y,2019,2019,267372934,439053617,706426551
Y,2016,2016,252106254,476685978,728792232
Y,2018,2018,275360095,480847737,756207832
Y,2017,2017,273130808,502036272,775167080
Y,2015,2015,306831078,590217696,897048774
Y,2013,2013,341734090,642616262,984350352
Y,2014,2014,354706875,645487383,1000194258
Y,2012,2012,343349532,675349317,1018698849
